user_id,tweet_text,creation_date,user_location,user_follower,user_friends,sentiment_analysis_polarity,sentiment_analysis_subjectivity
841023932694171648,RT @Intuition412: This thing is so ignorant and ugly https://t.co/seyYHZjhAx,2019-06-18 20:47:41,,10968,9925,-0.7,1.0
902773144280289282,"RT @DrShayPhD: So time to get dressed and make my way to the Trump Rally. Pouring outside, b ut what may be rain to some are showers of ble…",2019-06-18 20:47:41,"Arizona, USA",7204,7641,0.0,0.05
27387180,RT @EricMMatheny: I’m fond of saying you should go back to bartending but judging by the sheer ignorance of your comment I’m beginning to d…,2019-06-18 20:47:41,Are we there yet?,1996,4288,0.0,0.375
21705181,RT @DeanObeidallah: Trump in 2020 will use racism and bigotry to animate his base more than in 2016. And now he can use policies to do that…,2019-06-18 20:47:41,"Tustin and Irvine, California",122332,122031,-0.15000000000000002,0.75
774699551764525056,RT @Ryan_VanSickle: Imagine the media's coverage if 10's of thousands of people camped out waiting in line for over 40 hours in the heat an…,2019-06-18 20:47:41,"Washington, USA",10270,10001,0.0,0.0
867208814,"RT @khaliqrodriquez: The left cannot bully us 

We will continue to support president Trump no matter what they call us

Who's ready for fo…",2019-06-18 20:47:41,,132,355,0.1,0.25
1013454451489812483,RT @soledadobrien: I’m surprised you are surprised. https://t.co/YpXWTlDzTv,2019-06-18 20:47:41,Philadelphia ,3078,2526,0.1,0.9
516123749,"@tonyposnanski Unfortunately, the 20 lbs of shit in a 10 lb bag running for President in 2020 is Trump.",2019-06-18 20:47:41,"New York, NY",179,451,-0.35,0.9
705392747465871360,RT @HannahLStyles: @EmeraldRobinson doing a live hit for @OANN at the 2020 Trump Kickoff Rally in Orlando! https://t.co/ylT3ztuYra,2019-06-18 20:47:41,"Florida, USA",1207,521,0.17045454545454544,0.5
519088938,"Donald Trump sued someone who made fun of him, for $500 million https://t.co/iFJS44Utkb via @MotherJones",2019-06-18 20:47:41,,3135,4257,0.3,0.2
946714362554789888,"RT @kylegriffin1: Trump, asked by @AprilDRyan if he would apologize for his remarks on the Central Park Five, does not apologize and adds:…",2019-06-18 20:47:42,Europe🇪🇺Demokratic💘,734,255,0.0,0.25
899316440754524160,RT @The_Trump_Train: @realDonaldTrump @FLOTUS VOTE TRUMP 2020!,2019-06-18 20:47:42,,513,458,0.0,0.0
898904244,RT @sxdoc: HIllary Operative Alexandra Chalupa Met With Ukrainians to Manufacture Dirt on Trump &amp; Tries to Shut Down Public Event of Top Cr…,2019-06-18 20:47:42,,42856,25218,0.0611111111111111,0.3138888888888889
2206694669,"RT @charliekirk11: If no one is above the law, then why are Democrats so opposed to President Trump ordering the deportation of millions of…",2019-06-18 20:47:42,"New Hampshire, USA",3778,3978,0.0,0.1
1067353427896868864,"A QUIEN PUEDA INTERESAR:
Vice Presidente Mike Pence: ""¡El presidente Trump y yo estamos con el presidente interino… https://t.co/6ASbmCtP4O",2019-06-18 20:47:42,"Miami, FL",830,292,0.0,0.0
